,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1.0.tissue,characteristics_ch1.1.grade,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,hyb_protocol,scan_protocol,data_processing,platform_id,contact_name,contact_department,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,supplementary_file,series_id,data_row_count
GSM3190285,endometrium14_cancer_G2,GSM3190285,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G2,Homo sapiens,9606,endometrium cancer,G2,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190285/suppl/GSM3190285_endometrium14.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190285/suppl/GSM3190285_endometrium14.rma.chp.gz",GSE115810,22283
GSM3190286,endometrium15_cancer_G2,GSM3190286,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G2,Homo sapiens,9606,endometrium cancer,G2,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190286/suppl/GSM3190286_endometrium15.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190286/suppl/GSM3190286_endometrium15.rma.chp.gz",GSE115810,22283
GSM3190287,endometrium16_cancer_G1,GSM3190287,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G1,Homo sapiens,9606,endometrium cancer,G1,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190287/suppl/GSM3190287_endometrium16.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190287/suppl/GSM3190287_endometrium16.rma.chp.gz",GSE115810,22283
GSM3190288,endometrium17_cancer_G3,GSM3190288,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G3,Homo sapiens,9606,endometrium cancer,G3,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190288/suppl/GSM3190288_endometrium17.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190288/suppl/GSM3190288_endometrium17.rma.chp.gz",GSE115810,22283
GSM3190289,endometrium18_cancer_G3,GSM3190289,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G3,Homo sapiens,9606,endometrium cancer,G3,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190289/suppl/GSM3190289_endometrium18.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190289/suppl/GSM3190289_endometrium18.rma.chp.gz",GSE115810,22283
GSM3190290,endometrium19_cancer_G2,GSM3190290,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G2,Homo sapiens,9606,endometrium cancer,G2,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190290/suppl/GSM3190290_endometrium19.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190290/suppl/GSM3190290_endometrium19.rma.chp.gz",GSE115810,22283
GSM3190291,endometrium20_cancer_G2,GSM3190291,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G2,Homo sapiens,9606,endometrium cancer,G2,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190291/suppl/GSM3190291_endometrium20.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190291/suppl/GSM3190291_endometrium20.rma.chp.gz",GSE115810,22283
GSM3190292,endometrium21_cancer_G2,GSM3190292,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G2,Homo sapiens,9606,endometrium cancer,G2,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190292/suppl/GSM3190292_endometrium21.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190292/suppl/GSM3190292_endometrium21.rma.chp.gz",GSE115810,22283
GSM3190293,endometrium22_cancer_G2,GSM3190293,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G2,Homo sapiens,9606,endometrium cancer,G2,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190293/suppl/GSM3190293_endometrium22.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190293/suppl/GSM3190293_endometrium22.rma.chp.gz",GSE115810,22283
GSM3190294,endometrium24_cancer_G1,GSM3190294,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G1,Homo sapiens,9606,endometrium cancer,G1,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190294/suppl/GSM3190294_endometrium24.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190294/suppl/GSM3190294_endometrium24.rma.chp.gz",GSE115810,22283
GSM3190295,endometrium25_cancer_G2,GSM3190295,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G2,Homo sapiens,9606,endometrium cancer,G2,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190295/suppl/GSM3190295_endometrium25.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190295/suppl/GSM3190295_endometrium25.rma.chp.gz",GSE115810,22283
